Phase,Operation,FLOPs,Param Count,Input1 Bytes,Input2 Bytes,Output Bytes,Total Bytes,Density (Op/Byte)
Prefill,xW_Q,137438953472.0,16777216.0,33554432.0,33554432.0,33554432.0,100663296.0,1365.33
Prefill,xW_K,34359738368.0,4194304.0,33554432.0,8388608.0,33554432.0,75497472.0,455.11
Prefill,xW_V,34359738368.0,4194304.0,33554432.0,8388608.0,33554432.0,75497472.0,455.11
Prefill,RoPE-Q,33554432.0,0.0,33554432.0,1048576.0,33554432.0,68157440.0,0.49
Prefill,RoPE-K,8388608.0,0.0,8388608.0,1048576.0,8388608.0,17825792.0,0.47
Prefill,Q × Kᵀ,137438953472.0,0.0,33554432.0,8388608.0,1073741824.0,1115684864.0,123.19
Prefill,Attn × V,137438953472.0,0.0,1073741824.0,8388608.0,33554432.0,1115684864.0,123.19
Prefill,xW_O,137438953472.0,16777216.0,33554432.0,33554432.0,33554432.0,100663296.0,1365.33
Prefill,FFN-1 (with Gate),962131394560.0,117440512.0,33554432.0,234881024.0,117440512.0,385875968.0,2493.37
Prefill,FFN-2,481036337152.0,58720256.0,117440512.0,117440512.0,33554432.0,268435456.0,1792.0
Decode,xW_Q,33554432.0,16777216.0,8192.0,33554432.0,8192.0,33570816.0,1.0
Decode,xW_K,8388608.0,4194304.0,8192.0,8388608.0,8192.0,8404992.0,1.0
Decode,xW_V,8388608.0,4194304.0,8192.0,8388608.0,8192.0,8404992.0,1.0
Decode,RoPE-Q,8192.0,0.0,8192.0,256.0,8192.0,16640.0,0.49
Decode,RoPE-K,2048.0,0.0,2048.0,256.0,2048.0,4352.0,0.47
Decode,Q × Kᵀ,33554432.0,0.0,8192.0,8390656.0,262208.0,8661056.0,3.87
Decode,Attn × V,33562624.0,0.0,262208.0,8390656.0,8192.0,8661056.0,3.88
Decode,xW_O,33554432.0,16777216.0,8192.0,33554432.0,8192.0,33570816.0,1.0
Decode,FFN-1 (with Gate),234895360.0,117440512.0,8192.0,234881024.0,28672.0,234917888.0,1.0
Decode,FFN-2,117440512.0,58720256.0,28672.0,117440512.0,8192.0,117477376.0,1.0
Decode_Last,xW_Q,33554432.0,16777216.0,8192.0,33554432.0,8192.0,33570816.0,1.0
Decode_Last,xW_K,8388608.0,4194304.0,8192.0,8388608.0,8192.0,8404992.0,1.0
Decode_Last,xW_V,8388608.0,4194304.0,8192.0,8388608.0,8192.0,8404992.0,1.0
Decode_Last,RoPE-Q,8192.0,0.0,8192.0,256.0,8192.0,16640.0,0.49
Decode_Last,RoPE-K,2048.0,0.0,2048.0,256.0,2048.0,4352.0,0.47
Decode_Last,Q × Kᵀ,67100672.0,0.0,8192.0,16777216.0,524288.0,17309696.0,3.88
Decode_Last,Attn × V,67108864.0,0.0,524288.0,16777216.0,8192.0,17309696.0,3.88
Decode_Last,xW_O,33554432.0,16777216.0,8192.0,33554432.0,8192.0,33570816.0,1.0
Decode_Last,FFN-1 (with Gate),234895360.0,117440512.0,8192.0,234881024.0,28672.0,234917888.0,1.0
Decode_Last,FFN-2,117440512.0,58720256.0,28672.0,117440512.0,8192.0,117477376.0,1.0
